,Paths,S8->Li2S4-Edge 1,S8->Li2S4-Edge 2,S8->Li2S4-Edge 3,S8->Li2S4-Edge 4,S8->Li2S4-Edge 5,S8->Li2S4-Edge 6,S8->Li2S4-Edge 7,S8->Li2S4-Edge 8,S8->Li2S4-Edge 9,Li2S4->Li2S-Edge 1,Li2S4->Li2S-Edge 2,Li2S4->Li2S-Edge 3,Li2S4->Li2S-Edge 4,Li2S4->Li2S-Edge 5,Li2S4->Li2S-Edge 6,Energy_barrier(eV),sum,sum_positive
26,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS2 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.413,0.381,0.003,-0.168,0.188,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,0.574,-1.2939999999999998,2.697
27,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS2 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.413,0.381,0.003,-0.168,0.188,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,0.665,-1.2939999999999998,2.786
28,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS2 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.413,0.381,0.003,-0.168,0.188,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,0.665,-1.2949999999999997,2.976
29,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS2 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.413,0.381,0.003,-0.168,0.188,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,0.665,-1.2939999999999998,2.788
30,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS2 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.413,0.381,0.003,-0.168,0.188,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,0.665,-1.2949999999999997,2.978
31,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS2 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.413,0.381,0.003,-0.168,0.188,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,0.592,-1.2959999999999996,2.904
32,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS2 -> S* -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.413,0.381,0.003,-0.168,0.188,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,0.665,-1.2939999999999998,2.9250000000000003
33,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,1.045,-1.297,4.2139999999999995
34,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,1.045,-1.297,4.353
35,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.045,-1.2960000000000003,4.593
36,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.045,-1.2970000000000004,4.7829999999999995
37,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,1.045,-1.296,4.215
38,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,1.045,-1.296,4.213
39,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,1.045,-1.297,4.403
40,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,1.045,-1.2960000000000005,4.215
41,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,1.045,-1.2970000000000004,4.404999999999999
42,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,1.045,-1.2979999999999998,4.404
43,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,1.045,-0.546,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,1.045,-1.296,4.352
44,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,0.665,-1.2959999999999996,3.264
45,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,0.665,-1.2959999999999996,3.403
46,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.045,-1.295,4.023
47,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.045,-1.296,4.212999999999999
48,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,0.665,-1.2949999999999997,3.2649999999999997
49,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,0.665,-1.2949999999999997,3.263
50,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,0.665,-1.2959999999999996,3.453
51,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,0.665,-1.2950000000000002,3.265
52,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,0.665,-1.296,3.455
53,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,0.665,-1.2969999999999995,3.4539999999999997
54,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.09,-0.168,-0.893,-0.166,0.665,0.381,0.003,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,0.665,-1.2949999999999997,3.402
55,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,0.592,-1.297,3.2059999999999995
56,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,0.592,-1.297,3.345
57,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.045,-1.2960000000000003,4.037999999999999
58,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.045,-1.2970000000000004,4.228
59,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,0.574,-1.296,3.189
60,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,0.665,-1.296,3.2779999999999996
61,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,0.665,-1.297,3.468
62,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,0.665,-1.2960000000000005,3.2800000000000002
63,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,0.665,-1.2970000000000004,3.4699999999999998
